levels,lowest,high_level,low_level,method,datasets,S_shared,train_time,test_time,mae_error,median_ae_error,minimum_ae_error,maximum_ae_error,mae_relative,median_ae_relative,minimum_ae_relative,maximum_ae_relative,mae_std,median_ae_std,minimum_ae_std,maximum_ae_std,pearson_error,spearman_error,kendall_error,pearson_std,spearman_std,kendall_std
2,PBE,160,160,Multitask,A,1.0,0.01376485824584961,0.010950088500976562,0.010016993944346422,0.006189367693233956,5.0679112361698105e-6,0.09564568057051645,6.4059958783855135,0.6302521706327864,0.0014782215794981555,302.2629137544839,0.29005048073199274,0.2583632606812979,0.10194742172938125,1.3801481324356428,0.8569064117068874,0.7981640557694946,0.6257163857616909,0.4032209511419289,0.16374366448891103,0.11081504702194357
2,PBE,160,161,Multitask,AT,1.0,4.628708362579346,0.3317403793334961,0.007481515866335259,0.004567362198572391,1.848190414533747e-5,0.06899886620214318,4.526123775007514,0.5162869505439238,0.0033183364596246962,186.86422905116302,0.26287398972901266,0.2366194043313669,0.09885149522695619,1.0588614157566523,0.9272236030873198,0.8848954191484389,0.7230957637869172,0.3093866270126614,0.09330157032783523,0.0649294670846395
2,PBE,320,320,Multitask,A,1.0,0.04444313049316406,0.020018815994262695,0.008117348674455759,0.00481005975490984,2.877659303227993e-5,0.12562418226086539,5.962784076074804,0.46393474787025596,0.008666451254086853,529.7647906905571,0.22172407675343958,0.19138802452571418,0.07284445104594936,1.2475270818895914,0.8840272469099315,0.847251842380582,0.6905706596577671,0.46642525610291885,0.14479169718454282,0.0987460815047022
2,PBE,320,321,Multitask,AT,1.0,14.99042558670044,0.709327220916748,0.006381698202342342,0.00350260289950248,1.63101143113506e-5,0.07486956092979923,5.34360310999684,0.3516642970053623,0.0013461770748790397,481.3240512179078,0.20331359477882782,0.1780736971244478,0.07148105286459969,0.9651405215335216,0.9405869134378532,0.9080634437697902,0.7625177574663448,0.4521928954076491,0.09081277649195793,0.06195141065830721
2,PBE,5,10,Multitask,CA,1.0,0.000415802001953125,0.005019187927246094,0.01781941807226988,0.009524396010873931,6.115319355102806e-6,0.2053536991843289,22.923367943811623,1.0192969947948893,0.0015858706343651835,1795.3077016160635,1.0034633792953755,0.9253479723760099,0.4393216775749951,2.4957391648076324,0.29801958156678765,0.3423902504854235,0.24231202576216784,0.21938279525220925,0.031255676324964114,0.019435736677115987
2,PBE,5,11,Multitask,CAT,1.0,0.0952749252319336,0.03183889389038086,0.008564603137127709,0.004974928129426254,9.642683416302418e-6,0.10602363647858,6.273593300284852,0.4486665151931041,0.006726715345389117,507.55600568061647,0.7802326934828222,0.728724738217112,0.3531849698362898,1.7800326052028086,0.9804237517615568,0.9508171806705251,0.8374038707082795,0.1899690549595234,-0.05147291477455834,-0.02707680250783699
2,PBE,10,20,Multitask,CA,1.0,0.0004680156707763672,0.003206968307495117,0.018421112992088602,0.009825746222096528,0.00019244826321757058,0.1792990909497832,26.48876251868604,1.139230473641319,0.004412435365424256,2735.3452990107435,0.7792350561586203,0.7106651938932425,0.32190119199244,2.3877497486868284,0.35044034031718735,0.34431672299359356,0.26366887124456156,0.35333086809864,0.1564757712477661,0.10540752351097178
2,PBE,10,21,Multitask,CAT,1.0,0.1580214500427246,0.034622907638549805,0.008766567343917805,0.005400906197400071,3.410390043690186e-7,0.10669595056652927,14.661040915208186,0.5488288832629892,0.00039787129876941004,1445.8726422961192,0.6179640525773489,0.573793146976631,0.2625676657962045,1.713242890601519,0.9521719105127273,0.9010255293772395,0.7583247621147556,0.35431880232519675,0.1975328128204377,0.1336990595611285
2,PBE,20,40,Multitask,CA,1.0,0.0012111663818359375,0.003919839859008789,0.018526140422303508,0.009754793044817345,2.6955612189176138e-5,0.1401389975368694,11.684522013956702,1.3315512013575423,0.002236302060581252,391.3961772716121,0.6129689979025621,0.5487477381681087,0.27451011760679644,2.062994283932758,0.4379222747625099,0.4042812697470451,0.30689199155113084,0.33613686330691084,0.16653971230187795,0.1125
2,PBE,20,41,Multitask,CAT,1.0,0.44756197929382324,0.05526423454284668,0.010104322078559784,0.005897412438538808,7.347007124628574e-5,0.10816395085192342,11.710807438257216,0.7056242513368443,0.0016921689138016988,737.6930277148218,0.49666163890612314,0.44418690158344426,0.2318057880204212,1.5569016366831987,0.8633512305943107,0.8210530247780283,0.6419789378262658,0.29587397743402183,0.24616573404037148,0.1649294670846395
2,PBE,40,80,Multitask,CA,1.0,0.003312826156616211,0.005566120147705078,0.015784094191393257,0.0088453916661588,7.065351193399764e-5,0.1492618384560683,13.350980209999966,0.9651843721110173,0.0030415608894826785,992.6000504410002,0.47706197957594654,0.42333631312915165,0.19545041253005072,1.744709982081623,0.5809673136749058,0.5322154507087699,0.40756306686171695,0.34781765206702886,0.0769288518442563,0.05168495297805643
2,PBE,40,81,Multitask,CAT,1.0,1.14984130859375,0.10386013984680176,0.00872902074243541,0.005523087464104579,1.7152866585851134e-5,0.09326397952335641,7.207601058096057,0.6341184838611054,0.00045746583773173554,778.1675664930884,0.3928767310686841,0.3509184537135259,0.1689327550011459,1.3473513380642028,0.9138214924691478,0.8975047411073893,0.7293264765056339,0.2800768290999999,0.06638297248996572,0.04341692789968652
2,PBE,80,160,Multitask,CA,1.0,0.009557008743286133,0.00896000862121582,0.013688241701241971,0.00859630429865697,0.00010708640532692662,0.10464839221823388,11.401543797895782,0.8295889423826415,0.00986123208138304,1653.2065523316016,0.3647197005772542,0.3279591627623596,0.14910709426510224,1.4569399770363838,0.7427226697336529,0.6643896656405722,0.5011805051322464,0.3303933976422388,0.057311838982802565,0.03632445141065831
