task,variance,lengthscale,rho,seed,objective_mle,objective_mae
PBE_SCAN,0.147303295136323,1.04940689937451,1.0,92,-981.399687574426,0.00114758995638664
SCAN_PBE_CCSDT,0.147303295136323,1.04940689937451,0.811345991970619,92,-981.399687574426,0.00114758995638664
PBE_SCAN_CCSDT,0.147303295136323,1.04940689937451,-0.270734239113682,92,-981.399687574426,0.00114758995638664
CCSDT_SCAN,8.87462437436925,1.17863755331461,1.0,90,-881.662352145914,0.00193245400802104
CCSDT_SCAN_PBE,8.87462437436925,1.17863755331461,0.782394238024017,90,-881.662352145914,0.00193245400802104
SCAN_PBE,0.356666888945535,1.04940689937453,1.0,58,-981.399687574426,0.000757092763975025
PBE_SCAN,0.356666888945535,1.04940689937453,1.0,58,-981.399687574426,0.000757092763975025
SCAN_PBE_CCSDT,0.356666888945535,1.04940689937453,0.811345991970619,58,-981.399687574426,0.000757092763975025
PBE_SCAN_CCSDT,0.356666888945535,1.04940689937453,-0.270734239113682,58,-981.399687574426,0.000757092763975025
CCSDT_SCAN,2.30440129915425,1.17863755331459,1.0,95,-881.662352145914,0.0020924933571889
CCSDT_SCAN_PBE,2.30440129915425,1.17863755331459,0.782394238024017,95,-881.662352145914,0.0020924933571889
CCSDT_PBE,0.983242537433518,1.05035592665317,1.0,72,-851.643025601123,0.00168728351035749
CCSDT_PBE_SCAN,0.983242537433518,1.05035592665317,0.782394238024017,72,-851.643025601123,0.00168728351035749
SCAN_PBE,1.14386609625704,1.04940689937451,1.0,53,-981.399687574427,0.000913614334455695
PBE_SCAN,1.14386609625704,1.04940689937451,1.0,53,-981.399687574427,0.000913614334455695
SCAN_PBE_CCSDT,1.14386609625704,1.04940689937451,0.811345991970619,53,-981.399687574427,0.000913614334455695
PBE_SCAN_CCSDT,1.14386609625704,1.04940689937451,-0.270734239113682,53,-981.399687574427,0.000913614334455695
SCAN_PBE,1.17514136858306,1.04940689937452,1.0,90,-981.399687574426,0.00107023764357015
